"clusterType","clusterDimensions","cluster","nClusters","nFolios","cumRet","mu","sigma","skew","kurt","maxDD","ir","timingLoss","CPTUtility_100","utilityType"
"kMeans","ir_skew_maxDD",6,8,1159,2.31182379959402,0.0046378390864269,0.0147301549235465,-1.63576717563613,15.5121777952744,20.3752540212622,0.320536004584648,-3.033593120129,0.00328623813114754,"CPTUtility_100"
"kMeans","ir_skew_maxDD",2,8,1057,1.88117246929122,0.00351928728762142,0.0136728335207047,0.355263924696067,10.6497374736581,14.4449412864196,0.262328801992645,22.3761651441599,0.00343862843803217,"CPTUtility_100"
"kMeans","ir_skew_maxDD",4,8,1710,2.65862597137464,0.00582129406496259,0.0330932373196837,-0.908685944042404,8.82079836026607,66.5259774513337,0.175573931169753,-0.361710286645576,0.00309166131871345,"CPTUtility_100"
"kMeans","ir_skew_maxDD",3,8,530,1.86385640016942,0.0033953743333314,0.00845424826708326,-0.147580109814298,7.50072439925251,7.54368685122808,0.412872518888077,17.4377358490566,0.0029182141,"CPTUtility_100"
"kMeans","ir_skew_maxDD",7,8,1960,2.32863868406417,0.00483136535347014,0.0234761694754069,-0.877653655124854,9.33042004577775,40.9734963724738,0.206232902651129,-0.66768149882904,0.00261899346479592,"CPTUtility_100"
"kMeans","ir_skew_maxDD",1,8,595,2.78662353408818,0.00647389104457195,0.0429630133197287,-0.79957762996335,7.63205355142905,102.689970048608,0.150665718311934,-0.230665380906461,0.00290789405714286,"CPTUtility_100"
"kMeans","ir_skew_maxDD",8,8,1330,2.41243548433983,0.00497043254049581,0.0205183856958312,-1.32494264123381,11.8859457289034,33.9607908055909,0.244200535037915,-1.21345987920621,0.00275985222781955,"CPTUtility_100"
"kMeans","ir_skew_maxDD",5,8,1659,2.07807581733321,0.00405388160839603,0.0143087017531136,-0.67176132779085,9.11414279173869,17.7790260818757,0.286746086227277,3.30175199359678,0.00297219191199518,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",1,8,795,2.29989314429466,0.0046032069799212,0.0142404357886201,-1.72734299222619,16.2172489690083,19.3569922839913,0.330373997432015,-3.31011444478812,0.00329037282264151,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",2,8,1962,1.99961802477838,0.0038367247647397,0.0137170671340011,-0.355667393614857,8.7563220734288,16.3090106707126,0.291625545619895,10.8395414515132,0.00310985298929664,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",3,8,3178,2.55113338899277,0.005525021566268,0.0307489161061221,-0.883857270664777,8.68337106472137,60.9147741019617,0.181529387351061,-0.377554704990251,0.00283618310163625,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",4,8,2985,2.32656103080947,0.00474283533225965,0.0190177056169197,-1.17448460048066,11.2432835771867,30.1971305212689,0.255072946620173,-1.08194524535244,0.00281565687001675,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",5,8,108,1.75289976708685,0.00305958888546482,0.00730144341799277,0.632866536005557,7.34933011139958,4.73866741038089,0.425116943663036,38.8290831815422,0.00299230448148148,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",6,8,603,1.87331872471747,0.00350307070138723,0.013959765129049,0.585311676590677,11.9412564026063,14.6327191821161,0.255984360791618,19.5459859174075,0.00354025854892206,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",7,8,271,2.89158603302828,0.00685231314234136,0.0466450053056383,-0.800269435697558,7.72900064015386,117.022649014351,0.14693728636751,-0.154134656100659,0.00336460597416974,"CPTUtility_100"
"hierarchical","ir_skew_maxDD",8,8,98,1.77184493134018,0.00309959089238682,0.00642313006615522,-0.445037615210593,7.48230172958242,5.62776326325454,0.499966320081261,10.5386416861827,0.00241236693877551,"CPTUtility_100"
"dbScan","ir_skew_maxDD",1,9,9707,2.32058701952255,0.00478843597742116,0.0218207002161894,-0.846008724136083,10.1270249887913,37.940272196818,0.24252920346129,2.94145006054444,0.00297891566755949,"CPTUtility_100"
"dbScan","ir_skew_maxDD",2,9,9,1.92409713603804,0.00358231018717173,0.00863136652414016,0.219267167139154,6.27031908999954,6.42932362024741,0.414563655537321,28.2295081967213,0.00305689688888889,"CPTUtility_100"
"dbScan","ir_skew_maxDD",3,9,11,2.07339267725062,0.00403829790929978,0.012188492061511,-2.55309038354775,23.8099640554087,16.2112352634173,0.332294595726118,-3.90163934426229,0.00276934354545455,"CPTUtility_100"
"dbScan","ir_skew_maxDD",8,9,11,1.91569690156363,0.00361528265962192,0.012523407596497,1.45645529254687,17.9825647030441,13.608726230972,0.289300896121306,-2.98360655737705,0.00375354872727273,"CPTUtility_100"
