"clusterMethod","clusterDimension","utility","ust3m","ust10","tips","mbs","agency","usIGCredit","usHYCredit","cmbs","em","intlBond","spx","intlEq","emStock","reit"
"kMeans","ir_skew_kurt","CPTUtility_225",0.108339776400888,0.158973328330718,0.0716649564936593,0.150207415256047,0.158962596286718,0.102682569827501,0.0262848080499372,0.0251908152289963,0.0267663512256216,0.128365793128361,0.0191561985857073,0.00975512994305395,0.00628545188391581,0.00736480935887598
"kMeans","cumRet_sigma_skew_kurt","CPTUtility_225",0.124675287396625,0.178979628720938,0.0933925506524398,0.135245685220625,0.147557845573875,0.0851411637000089,0.0125574584156331,0.0326420046605567,0.0161936839324093,0.150708260279337,0.00605106092493162,0.00671899843181731,0.00714169714451315,0.00299467494628918
"hierarchical","ir_skew_kurt","CPTUtility_225",0.456663539092655,0.00280392532502966,0,0.440827286291668,0.0361146564861493,0.0261453082818272,0.00792339406907559,0.00652654590750379,0.00835595650299053,0.00483393957838416,0.00729237148771063,0.000629925277150636,0.000260232561933146,0.00162291913792225
"hierarchical","cumRet_sigma_skew_kurt","CPTUtility_225",0.0509337110239146,0.128187812186503,0.00850491937387071,0.057306395730639,0.201505778292772,0.0315752063376122,0.00393946057423776,0.404171395559557,0.00663196426643015,0.103140142097593,0.000757244539396592,0.000965745744201564,0.00176253342611152,0.000617690847161435
"dbScan","ir_skew_kurt","CPTUtility_225",0.197013834219736,0,0.0248794453917072,0.436386406693297,0.18032023673101,0.0869744918076322,0.019232027643981,0,0,0.0231356083182618,0.0320579491943741,0,0,0
"dbScan","cumRet_sigma_skew_kurt","CPTUtility_225",0.521520546338676,0.00165776853294423,0.0182386859203689,0.0213765061072385,0.00161905434215442,0.00614413783963149,0.0163807984208688,0.000253610215925922,0.402557108233062,0.00593049584034209,0.00153082649921998,0.00158619404149553,0,0.00120426766807213
"kMeans","ir_skew_kurt","CPTUtility_150",0.0798278052434055,0.0710525973756976,0.0378400347244306,0.0643003797091862,0.0904354801126298,0.080772604206097,0.0294677790665276,0.405891239331756,0.0429844881753601,0.0755698495399021,0.00439189942853582,0.00533461656208464,0.00497338468300392,0.0071578418413828
"kMeans","cumRet_sigma_skew_kurt","CPTUtility_150",0.0701711998285552,0.0890624748591805,0.0291362668156428,0.084521794235356,0.117720179886253,0.0890233436501574,0.012032620661263,0.388266844864099,0.0126889947666242,0.094576694078739,0.00328185519076848,0.00339570362409821,0.00290796973682531,0.00321405780243827
"hierarchical","ir_skew_kurt","CPTUtility_150",0.456663539092655,0.00280392532502966,0,0.440827286291668,0.0361146564861493,0.0261453082818272,0.00792339406907559,0.00652654590750379,0.00835595650299053,0.00483393957838416,0.00729237148771063,0.000629925277150636,0.000260232561933146,0.00162291913792225
"hierarchical","cumRet_sigma_skew_kurt","CPTUtility_150",0.0509337110239146,0.128187812186503,0.00850491937387071,0.057306395730639,0.201505778292772,0.0315752063376122,0.00393946057423776,0.404171395559557,0.00663196426643015,0.103140142097593,0.000757244539396592,0.000965745744201564,0.00176253342611152,0.000617690847161435
"dbScan","ir_skew_kurt","CPTUtility_150",0.098083223355934,0,0.000899682147428393,0.0976389246216665,0.34611497730948,0.0553290243493393,0.213952172772648,0.167533663194627,0.0112252658853928,0,0,0.00441200048662722,0,0.00481106587685645
"dbScan","cumRet_sigma_skew_kurt","CPTUtility_150",0.00797049880202395,0.189745123185276,0.00499851902422961,0.059410330717219,0.223719256583718,0.038906516910356,0.00259133825456957,0.41624088116223,0.00185767921211664,0.0521975061070407,0.000457995373290034,0.000542555077117868,0.000896638039557727,0.000465161551255733
