folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
1,-0.006121573,0.002034209,-0.001228104,0.632298039,-0.531369289,-0.141176661,-0.01993085,0.003442346,0.003389282,0.003336219,0.003230092
2,-0.004958042,0.003337549,1.93E-05,0.600638564,-0.548461297,-0.150404897,-0.022621633,0.003269088,0.003170819,0.003072551,0.002876014
3,-0.016153054,0.005546009,-0.003133616,1.036847275,-0.354570786,-0.062860221,-0.003951407,0.005662433,0.005019657,0.00437688,0.003091326
4,-0.002740113,0.003328759,0.00090121,0.66118116,-0.516241211,-0.133252494,-0.017756227,0.003599443,0.003560957,0.00352247,0.003445496
5,-0.008869984,0.00327464,-0.00158321,0.623066852,-0.536297169,-0.143807327,-0.020680547,0.00339317,0.003197595,0.00300202,0.002610869
6,-0.009270911,0.004615852,-0.000938853,1.109723975,-0.32964994,-0.054334541,-0.002952242,0.006055279,0.005813126,0.005570972,0.005086665
7,-0.020803642,0.005314953,-0.005132485,1.17935343,-0.30747748,-0.0472712,-0.002234566,0.006445099,0.005749687,0.005054274,0.00366345
8,-0.029815575,-0.000340806,-0.012130713,0.962862513,-0.381798417,-0.072885016,-0.005312226,0.005259523,0.004475966,0.003692408,0.002125293
9,-0.015229774,0.000136976,-0.006009724,0.658354238,-0.517702649,-0.134008016,-0.017958148,0.003585275,0.003388354,0.003191432,0.002797589
10,-0.015806947,0.003923728,-0.003968542,1.072814218,-0.342044574,-0.058497245,-0.003421928,0.005854912,0.005437,0.005019088,0.004183265
11,-0.005692147,0.00385333,3.51E-05,0.794967466,-0.451595927,-0.101969441,-0.010397767,0.004329632,0.004219808,0.004109984,0.003890335
12,-0.023955649,0.001086562,-0.008930322,0.871626316,-0.418270755,-0.087475212,-0.007651913,0.004751474,0.004199747,0.003648021,0.002544568
13,-0.006753966,0.002789579,-0.001027839,0.701187421,-0.495995998,-0.123006015,-0.01513048,0.003817954,0.003745989,0.003674024,0.003530094
14,-0.015560121,0.002469413,-0.0047424,0.939549821,-0.390803728,-0.076363777,-0.005831426,0.005123448,0.004778568,0.004433688,0.003743927
15,-0.012342728,0.002338568,-0.00353395,0.789883666,-0.453897596,-0.103011514,-0.010611372,0.00430302,0.004118208,0.003933395,0.003563771
16,-0.018096403,0.001496844,-0.006340455,0.736604676,-0.478736625,-0.114594378,-0.013131871,0.004016919,0.00359953,0.003182141,0.002347363
17,-0.007544025,0.001783743,-0.001947364,0.725124634,-0.48426421,-0.117255912,-0.013748949,0.003949702,0.003866228,0.003782755,0.003615807
18,-0.010900902,0.002192244,-0.003045014,0.804612221,-0.447261331,-0.100021349,-0.01000427,0.004383005,0.004236945,0.004090884,0.003798764
19,-0.01183043,0.002587843,-0.003179466,0.824457553,-0.438472776,-0.096129188,-0.009240821,0.004492015,0.004313291,0.004134566,0.003777117
20,-0.001936996,0.003971794,0.001608278,0.648788224,-0.522678763,-0.136596545,-0.018658616,0.003531723,0.003488435,0.003445147,0.003358571
21,-0.023905705,0.000586244,-0.009210536,0.944144018,-0.389012416,-0.07566533,-0.005725242,0.005152001,0.004613718,0.004075434,0.002998866
22,-0.002003702,0.003859394,0.001514156,0.635093152,-0.529886126,-0.140389653,-0.019709255,0.003457118,0.003416424,0.00337573,0.003294342
23,-0.018810414,0.001329634,-0.006726385,0.801585889,-0.448616943,-0.100628581,-0.010126111,0.004368029,0.003997094,0.003626159,0.002884289
24,-0.016714227,0.004422114,-0.004032423,1.057720672,-0.347246397,-0.06029003,-0.003634888,0.005771925,0.005282999,0.004794072,0.003816219
25,-0.007315414,0.002405935,-0.001482605,0.658823375,-0.517459833,-0.133882339,-0.017924481,0.003586558,0.003505411,0.003424264,0.00326197
26,-0.00696587,0.003433968,-0.000725967,0.728476415,-0.482643779,-0.116472509,-0.013565845,0.003966132,0.003865044,0.003763956,0.003561779
27,-0.008771605,0.002988682,-0.001715433,0.826038302,-0.437780209,-0.095825755,-0.009182575,0.004499998,0.004363653,0.004227307,0.003954616
28,-0.008558216,0.001841711,-0.00231826,0.673371308,-0.509986355,-0.130043041,-0.016911193,0.003666081,0.003575094,0.003484106,0.00330213
29,-0.009227488,0.001602561,-0.002729459,0.791596343,-0.453120881,-0.102659267,-0.010538925,0.004313063,0.004199291,0.00408552,0.003857976
30,-0.01085995,0.003532746,-0.002224333,0.884472202,-0.412932061,-0.085256443,-0.007268661,0.004819774,0.004618604,0.004417434,0.004015093
31,-0.017910827,-0.000476277,-0.007450097,0.739181392,-0.477504645,-0.114005343,-0.012997218,0.004027697,0.003754645,0.003481593,0.002935489
32,-0.006505038,0.002214292,-0.00127344,0.591219605,-0.553651637,-0.153265067,-0.023490181,0.00321814,0.003159548,0.003100955,0.002983771
33,-0.00593911,0.003863534,-5.75E-05,0.880159397,-0.414716802,-0.085995013,-0.007395142,0.004795844,0.004700141,0.004604438,0.004413033
34,-0.009034139,0.004143361,-0.001127639,0.736966738,-0.478563324,-0.114511428,-0.013112867,0.004012482,0.003793315,0.003574147,0.003135813
35,-0.01340435,0.002499599,-0.00386198,0.90533437,-0.404406641,-0.081772366,-0.00668672,0.004936123,0.004690741,0.00444536,0.003954596
36,-0.004071892,0.003634809,0.000552129,0.658217945,-0.517773213,-0.13404455,-0.017967941,0.003582996,0.003524344,0.003465693,0.003348389
37,-0.005826928,0.004188328,0.000182225,0.885968243,-0.412314759,-0.08500173,-0.007225294,0.004827802,0.004713942,0.004600082,0.004372363
38,-0.006680334,0.001554066,-0.001739694,0.679234877,-0.507004765,-0.128526916,-0.016519168,0.003698199,0.003643165,0.003588131,0.003478062
39,-0.00596141,0.004224545,0.000150163,0.732631232,-0.480642643,-0.115508675,-0.013342254,0.003988561,0.00386715,0.003745739,0.003502918
40,-0.014094706,0.001986363,-0.004446065,0.782386229,-0.457313454,-0.104567797,-0.010934424,0.004262873,0.004019809,0.003776744,0.003290615
41,-0.022156383,0.002067588,-0.007622,0.88933219,-0.410930084,-0.084431767,-0.007128723,0.00485456,0.004209003,0.003563446,0.002272332
42,-0.006000787,0.00338545,-0.000369045,0.74173446,-0.476287098,-0.1134247,-0.012865163,0.004039376,0.003950361,0.003861346,0.003683317
43,-0.00397195,0.004066173,0.000850924,0.809124064,-0.445247904,-0.099122848,-0.009825339,0.004407216,0.004327204,0.004247191,0.004087166
44,-0.030730665,0.005779891,-0.008824331,1.214476102,-0.296865501,-0.044064563,-0.001941686,0.006665129,0.005150095,0.003635062,0.000604995
45,-0.017598113,0.000304445,-0.006856578,0.806731559,-0.446314437,-0.099598288,-0.009919819,0.004397081,0.004102367,0.003807652,0.003218223
46,-0.01944621,-6.39E-05,-0.007816843,0.663736099,-0.51492393,-0.132573327,-0.017575687,0.003616358,0.003285994,0.00295563,0.002294901
47,-0.00839031,0.003324268,-0.001361563,0.818534019,-0.441077792,-0.097274809,-0.009462389,0.004459305,0.004334256,0.004209207,0.003959109
48,-0.015651007,0.004490875,-0.003565878,1.045741918,-0.35143099,-0.06175187,-0.003813293,0.005706504,0.005259095,0.004811687,0.00391687
49,-0.004960978,0.0043991,0.000655069,0.904447785,-0.404765341,-0.081917491,-0.006710475,0.004927972,0.004829813,0.004731654,0.004535336
50,-0.006091619,0.002473238,-0.000952705,0.575611694,-0.562360771,-0.158124818,-0.025003458,0.00313287,0.003059556,0.002986241,0.002839613
51,-0.004010663,0.003163466,0.000293814,0.67760475,-0.507831921,-0.12894663,-0.016627233,0.003689139,0.003644865,0.003600591,0.003512044
52,-0.012486866,0.006081524,-0.001345832,1.202935306,-0.300311411,-0.045093472,-0.002033421,0.00656881,0.006148501,0.005728192,0.004887574
53,-0.007904846,0.002530981,-0.00164335,0.734319413,-0.479831915,-0.115119333,-0.013252461,0.003998947,0.003904502,0.003810057,0.003621166
54,-0.023641924,0.000140206,-0.009372646,0.851921725,-0.426594347,-0.090991368,-0.008279429,0.00464342,0.004148437,0.003653455,0.00266349
55,-0.008109648,0.00335283,-0.001232161,0.725974242,-0.48385295,-0.117056838,-0.013702303,0.003952741,0.003837461,0.00372218,0.00349162
56,-0.016228241,0.00563018,-0.003113188,1.156735239,-0.314511311,-0.049458682,-0.002446161,0.006314698,0.005810123,0.005305548,0.004296398
57,-0.006872031,0.003037724,-0.000926178,0.683578583,-0.504807261,-0.127415186,-0.01623463,0.003721713,0.00363389,0.003546067,0.003370422
58,-0.011724914,0.00450329,-0.001987992,1.099226061,-0.333128805,-0.055487401,-0.003078852,0.005998144,0.005696025,0.005393905,0.004789666
59,-0.011597133,0.0041133,-0.002170873,0.958514546,-0.383462078,-0.073521583,-0.005405423,0.005224951,0.004969452,0.004713954,0.004202957
60,-0.005487015,0.004277765,0.000371853,0.840929018,-0.431309643,-0.093014004,-0.008651605,0.004580363,0.004482765,0.004385167,0.00418997
61,-0.009681207,0.001790409,-0.002798237,0.595500552,-0.551286549,-0.15195843,-0.023091364,0.003241333,0.003138751,0.00303617,0.002831007
62,-0.009152437,0.001940191,-0.00249686,0.683008978,-0.505094884,-0.127560421,-0.016271661,0.00371895,0.003617337,0.003515723,0.003312496
63,-0.01455245,0.002464724,-0.004342146,0.942073488,-0.389818713,-0.075979314,-0.005772856,0.005139785,0.004839119,0.004538453,0.003937122
64,-0.007881177,0.003856537,-0.000838548,0.827470236,-0.437153785,-0.095551716,-0.00913013,0.004508194,0.004337626,0.004167059,0.003825924
65,-0.023302519,0.005589562,-0.00596727,1.115019338,-0.327908938,-0.053762136,-0.002890367,0.006100648,0.005176889,0.00425313,0.002405613
66,-0.022427262,0.000835514,-0.008469596,0.897635228,-0.407532242,-0.083041264,-0.006895852,0.004893641,0.004414907,0.003936174,0.002978707
67,-0.010578211,0.001811869,-0.003144163,0.712430114,-0.490450897,-0.120271041,-0.014465123,0.003879635,0.003750191,0.003620746,0.003361858
68,-0.015489675,0.000309139,-0.006010387,0.698119084,-0.497520218,-0.123763184,-0.015317326,0.003802409,0.003590018,0.003377628,0.002952848
69,-0.020618091,0.000247509,-0.008098731,0.832606084,-0.434914385,-0.094575261,-0.00894448,0.004541541,0.00413204,0.00372254,0.002903539
70,-0.018592897,0.003632431,-0.0052577,0.825510539,-0.438011313,-0.095926955,-0.009201981,0.004503487,0.00400383,0.003504173,0.002504858
71,-0.014810843,0.002457911,-0.00444959,0.855392613,-0.425116252,-0.090361914,-0.008165275,0.004663071,0.004390994,0.004118916,0.003574761
72,-0.016427278,0.001959387,-0.005395279,0.904690142,-0.404667255,-0.081877794,-0.006703973,0.004931444,0.00460257,0.004273697,0.003615949
73,-0.007078916,0.003986725,-0.000439531,0.881387995,-0.414207594,-0.085783966,-0.007358889,0.004801715,0.004688145,0.004574574,0.004347433
74,-0.017918177,0.005161739,-0.004070227,1.122448996,-0.325481714,-0.052969173,-0.002805733,0.006129585,0.005490913,0.004852241,0.003574897
75,-0.007375589,0.003256769,-0.000996174,0.769321125,-0.463327503,-0.107336187,-0.011521057,0.004189736,0.004098835,0.004007933,0.00382613
76,-0.025176492,0.0051374,-0.006988157,1.11463489,-0.328035026,-0.053803489,-0.002894815,0.006100033,0.005059164,0.004018295,0.001936557
77,-0.021425871,0.005599803,-0.005210467,1.072406812,-0.342183953,-0.058544929,-0.003427509,0.00586418,0.005019515,0.004174851,0.002485522
78,-0.008440617,0.003558766,-0.001240987,0.799430339,-0.449585002,-0.101063337,-0.010213798,0.004354718,0.004217256,0.004079793,0.003804869
79,-0.019841225,0.002480875,-0.006447965,0.940557444,-0.390410143,-0.07621004,-0.00580797,0.005132613,0.00458691,0.004041206,0.0029498
80,-0.008185445,0.003454099,-0.001201719,0.731700823,-0.481090045,-0.115723816,-0.013392001,0.003984576,0.003840024,0.003695471,0.003406365
81,-0.011645504,0.003970726,-0.002275766,0.785666745,-0.455815687,-0.10388397,-0.010791879,0.004279649,0.004043037,0.003806424,0.003333199
